Party Name,Seats Won,Leading/Trailing,Total Seats,Percentage of Total Seats
Bharatiya Janata Party - BJP,240,0,240,44.19889502762431
Indian National Congress - INC,99,0,99,18.23204419889503
Samajwadi Party - SP,37,0,37,6.8139963167587485
All India Trinamool Congress - AITC,29,0,29,5.3406998158379375
Dravida Munnetra Kazhagam - DMK,22,0,22,4.051565377532229
Telugu Desam - TDP,16,0,16,2.9465930018416207
Janata Dal  (United) - JD(U),12,0,12,2.209944751381215
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,0,9,1.6574585635359116
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,0,8,1.4732965009208103
Shiv Sena - SHS,7,0,7,1.289134438305709
Lok Janshakti Party(Ram Vilas) - LJPRV,5,0,5,0.9208103130755065
Yuvajana Sramika Rythu Congress Party - YSRCP,4,0,4,0.7366482504604052
Rashtriya Janata Dal - RJD,4,0,4,0.7366482504604052
Communist Party of India  (Marxist) - CPI(M),4,0,4,0.7366482504604052
Indian Union Muslim League - IUML,3,0,3,0.5524861878453038
Aam Aadmi Party - AAAP,3,0,3,0.5524861878453038
Jharkhand Mukti Morcha - JMM,3,0,3,0.5524861878453038
Janasena Party - JnP,2,0,2,0.3683241252302026
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,0,2,0.3683241252302026
Janata Dal  (Secular) - JD(S),2,0,2,0.3683241252302026
Viduthalai Chiruthaigal Katchi - VCK,2,0,2,0.3683241252302026
Communist Party of India - CPI,2,0,2,0.3683241252302026
Rashtriya Lok Dal - RLD,2,0,2,0.3683241252302026
Jammu & Kashmir National Conference - JKN,2,0,2,0.3683241252302026
"United People’s Party, Liberal - UPPL",1,0,1,0.1841620626151013
Asom Gana Parishad - AGP,1,0,1,0.1841620626151013
Hindustani Awam Morcha (Secular) - HAMS,1,0,1,0.1841620626151013
Kerala Congress - KEC,1,0,1,0.1841620626151013
Revolutionary Socialist Party - RSP,1,0,1,0.1841620626151013
Nationalist Congress Party - NCP,1,0,1,0.1841620626151013
Voice of the People Party - VOTPP,1,0,1,0.1841620626151013
Zoram People’s Movement - ZPM,1,0,1,0.1841620626151013
Shiromani Akali Dal - SAD,1,0,1,0.1841620626151013
Rashtriya Loktantrik Party - RLTP,1,0,1,0.1841620626151013
Bharat Adivasi Party - BHRTADVSIP,1,0,1,0.1841620626151013
Sikkim Krantikari Morcha - SKM,1,0,1,0.1841620626151013
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,0,1,0.1841620626151013
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,0,1,0.1841620626151013
Apna Dal (Soneylal) - ADAL,1,0,1,0.1841620626151013
AJSU Party - AJSUP,1,0,1,0.1841620626151013
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,0,1,0.1841620626151013
Independent - IND,7,0,7,1.289134438305709
